TransactionID,CustomerID,ProductID,Quantity,UnitPrice,Discount,Region,PaymentMethod,InvoiceDate,Year,Month,Weekday,TotalSales,EffectivePrice
10073,1897,355,3,411.21,0.14,Port Harcourt,POS,2024-07-03,2024,7,Wednesday,1060.9217999999998,353.64059999999995
10074,1339,338,7,68.34,0.07,Port Harcourt,POS,2024-01-15,2024,1,Monday,444.8934,63.5562
10075,1091,320,3,498.97,0.11,Port Harcourt,Cash,2023-03-18,2023,3,Saturday,1332.2499,444.0833
10076,1366,264,7,133.0,0.2,Port Harcourt,Cash,2024-09-05,2024,9,Thursday,744.8,106.4
10077,1955,306,7,363.48,0.02,Port Harcourt,Card,2024-06-07,2024,6,Friday,2493.4728,356.2104
10078,1454,346,9,454.48,0.18,Port Harcourt,POS,2023-02-18,2023,2,Saturday,3354.0624000000003,372.6736
10079,1427,336,2,121.67,0.28,Kano,POS,2023-09-11,2023,9,Monday,175.20479999999998,87.6024
10080,1508,354,6,454.59,0.26,Lagos,Cash,2024-01-15,2024,1,Monday,2018.3796,336.3966
10081,1775,361,9,158.19,0.02,Port Harcourt,Cash,2023-09-06,2023,9,Wednesday,1395.2358,155.0262
10082,1942,371,2,488.32,0.3,Abuja,Cash,2023-03-13,2023,3,Monday,683.648,341.82399999999996
10083,1034,395,2,144.22,0.21,Port Harcourt,Cash,2024-03-22,2024,3,Friday,227.8676,113.9338
10084,1205,299,5,476.95,0.05,Kano,Transfer,2024-05-20,2024,5,Monday,2265.5125,453.10249999999996
10085,1080,281,8,31.5,0.0,Port Harcourt,POS,2024-12-09,2024,12,Monday,252.0,31.5
10086,1931,342,9,356.09,0.05,Kano,Card,2023-09-10,2023,9,Sunday,3044.5695,338.28549999999996
10087,1561,250,2,268.4,0.25,Port Harcourt,Cash,2023-10-26,2023,10,Thursday,402.59999999999997,201.29999999999998
10088,1871,340,5,241.55,0.01,Abuja,Transfer,2023-03-01,2023,3,Wednesday,1195.6725,239.1345
10089,1387,282,7,115.63,0.07,Port Harcourt,POS,2023-12-23,2023,12,Saturday,752.7513,107.53589999999998
10090,1001,376,6,354.27,0.23,Port Harcourt,Transfer,2023-06-06,2023,6,Tuesday,1636.7273999999998,272.7879
10091,1389,397,6,99.45,0.18,Kano,POS,2023-12-08,2023,12,Friday,489.29400000000004,81.549
10092,1565,311,7,278.66,0.23,Port Harcourt,POS,2023-07-21,2023,7,Friday,1501.9774,214.56820000000002
10093,1105,255,3,130.36,0.22,Lagos,Cash,2023-02-04,2023,2,Saturday,305.04240000000004,101.68080000000002
10094,1771,378,3,478.03,0.02,Port Harcourt,Cash,2024-06-18,2024,6,Tuesday,1405.4081999999999,468.46939999999995
10095,1821,364,9,19.17,0.27,Abuja,Card,2024-03-31,2024,3,Sunday,125.94690000000003,13.994100000000001
10096,1476,344,8,103.87,0.07,Port Harcourt,Card,2023-06-14,2023,6,Wednesday,772.7928,96.59909999999999
10097,1702,385,5,124.94,0.17,Port Harcourt,Transfer,2023-01-28,2023,1,Saturday,518.501,103.7002
10098,1401,356,6,209.96,0.19,Lagos,Cash,2024-01-07,2024,1,Sunday,1020.4056,170.06760000000003
10099,1729,360,1,120.2,0.05,Lagos,POS,2023-11-10,2023,11,Friday,114.19,114.19
10100,1555,259,1,248.22,0.29,Port Harcourt,Cash,2024-07-18,2024,7,Thursday,176.2362,176.2362
10101,1161,319,4,436.87,0.15,Port Harcourt,POS,2023-10-11,2023,10,Wednesday,1485.358,371.3395
10102,1201,382,2,357.47,0.02,Port Harcourt,Cash,2023-10-25,2023,10,Wednesday,700.6412,350.3206
10103,1957,337,7,292.08,0.28,Kano,POS,2024-04-19,2024,4,Friday,1472.0832,210.2976
10104,1995,374,2,49.06,0.18,Kano,Transfer,2024-08-19,2024,8,Monday,80.45840000000001,40.229200000000006
10105,1269,222,2,348.53,0.21,Abuja,Cash,2023-12-15,2023,12,Friday,550.6773999999999,275.3387
10106,1862,348,5,87.38,0.16,Abuja,Cash,2024-09-27,2024,9,Friday,366.996,73.3992
10107,1815,212,4,394.25,0.25,Kano,Cash,2024-03-20,2024,3,Wednesday,1182.75,295.6875
10108,1270,300,8,128.78,0.01,Abuja,POS,2023-07-26,2023,7,Wednesday,1019.9376,127.4922
10109,1455,360,4,211.44,0.08,Port Harcourt,Transfer,2024-02-21,2024,2,Wednesday,778.0992,194.5248
10110,1461,223,6,178.48,0.14,Lagos,POS,2024-03-14,2024,3,Thursday,920.9567999999999,153.4928
10111,1726,307,5,430.11,0.02,Port Harcourt,Transfer,2023-06-14,2023,6,Wednesday,2107.539,421.50780000000003
10112,1251,210,2,67.64,0.21,Kano,Card,2024-07-12,2024,7,Friday,106.8712,53.4356
10113,1701,216,8,284.99,0.12,Port Harcourt,Cash,2024-02-24,2024,2,Saturday,2006.3296,250.7912
10114,1295,395,2,75.32,0.08,Port Harcourt,Transfer,2024-01-06,2024,1,Saturday,138.5888,69.2944
10115,1724,374,9,353.87,0.0,Kano,POS,2024-10-29,2024,10,Tuesday,3184.83,353.87
10116,1719,224,9,453.01,0.22,Port Harcourt,Card,2023-09-23,2023,9,Saturday,3180.1302,353.3478
10117,1748,293,3,220.13,0.25,Abuja,POS,2023-10-06,2023,10,Friday,495.2925,165.0975
10118,1337,220,4,246.61,0.12,Abuja,Cash,2024-04-26,2024,4,Friday,868.0672000000001,217.01680000000002
10119,1878,283,8,464.07,0.17,Port Harcourt,Cash,2024-05-31,2024,5,Friday,3081.4248,385.1781
10120,1052,339,9,262.89,0.07,Kano,Cash,2023-03-23,2023,3,Thursday,2200.3893,244.48769999999996
10121,1791,236,3,246.36,0.19,Kano,Cash,2023-04-29,2023,4,Saturday,598.6548,199.55160000000004
10122,1921,241,5,291.27,0.0,Lagos,Card,2024-09-28,2024,9,Saturday,1456.35,291.27
10123,1216,344,8,346.17,0.15,Port Harcourt,Cash,2023-10-30,2023,10,Monday,2353.956,294.2445
10124,1763,300,3,57.91,0.19,Kano,Transfer,2023-08-03,2023,8,Thursday,140.72129999999999,46.9071
10125,1187,247,7,411.45,0.28,Lagos,Cash,2023-01-28,2023,1,Saturday,2073.708,296.24399999999997
10126,1379,302,8,220.57,0.11,Abuja,Cash,2024-05-12,2024,5,Sunday,1570.4584,196.3073
10127,1492,227,3,40.81,0.23,Port Harcourt,POS,2024-06-20,2024,6,Thursday,94.2711,31.423700000000004
10128,1040,240,2,394.16,0.18,Port Harcourt,Card,2024-06-02,2024,6,Sunday,646.4224,323.2112
10129,1156,298,7,191.59,0.28,Kano,Cash,2023-07-13,2023,7,Thursday,965.6136,137.9448
10130,1014,246,9,54.68,0.12,Kano,Transfer,2024-08-14,2024,8,Wednesday,433.0656,48.1184
10131,1812,345,1,318.72,0.1,Port Harcourt,Transfer,2024-03-17,2024,3,Sunday,286.848,286.848
10132,1064,304,3,440.67,0.27,Abuja,Transfer,2023-02-05,2023,2,Sunday,965.0672999999999,321.6891
10133,1856,323,5,444.44,0.01,Abuja,Card,2023-09-15,2023,9,Friday,2199.9779999999996,439.99559999999997
10134,1838,398,3,250.315,0.04,Lagos,Transfer,2023-04-23,2023,4,Sunday,720.9072,240.30239999999998
10135,1520,212,1,434.51,0.02,Lagos,Transfer,2023-10-21,2023,10,Saturday,425.8198,425.8198
10136,1343,340,7,6.06,0.25,Port Harcourt,Cash,2024-12-14,2024,12,Saturday,31.814999999999998,4.545
10137,1128,299,7,193.22,0.0,Abuja,Card,2023-01-14,2023,1,Saturday,1352.54,193.22
10138,1647,230,8,410.18,0.26,Lagos,POS,2024-10-28,2024,10,Monday,2428.2656,303.5332
10139,1471,329,5,186.3,0.14,Abuja,POS,2024-08-19,2024,8,Monday,801.0899999999999,160.21800000000002
10140,1062,215,5,302.77,0.0,Abuja,Transfer,2023-05-20,2023,5,Saturday,1513.85,302.77
10141,1138,336,5,305.13,0.12,Lagos,Cash,2024-01-06,2024,1,Saturday,1342.5720000000001,268.5144
10142,1498,272,1,185.69,0.06,Kano,Card,2024-03-02,2024,3,Saturday,174.5486,174.5486
10143,1592,365,5,452.71,0.19,Kano,Cash,2023-04-07,2023,4,Friday,1833.4754999999998,366.6951
10144,1391,253,6,254.1,0.2,Lagos,Card,2024-11-27,2024,11,Wednesday,1219.6799999999998,203.28
10145,1674,383,1,235.07,0.15,Port Harcourt,Card,2024-05-02,2024,5,Thursday,199.80949999999999,199.80949999999999
10146,1418,299,7,498.77,0.01,Port Harcourt,Cash,2023-12-08,2023,12,Friday,3456.4761,493.78229999999996
10147,1288,308,1,249.28,0.2,Abuja,Transfer,2024-05-06,2024,5,Monday,199.424,199.424
10148,1378,286,2,93.31,0.25,Port Harcourt,Cash,2024-05-14,2024,5,Tuesday,139.965,69.9825
10149,1772,372,2,258.97,0.22,Lagos,Cash,2024-03-07,2024,3,Thursday,403.99320000000006,201.99660000000003
10150,1489,361,5,407.94,0.25,Abuja,Cash,2023-07-08,2023,7,Saturday,1529.775,305.955
10151,1230,336,7,389.55,0.06,Port Harcourt,POS,2023-03-23,2023,3,Thursday,2563.239,366.17699999999996
10152,1040,207,1,395.35,0.27,Kano,Cash,2023-06-29,2023,6,Thursday,288.6055,288.6055
10153,1027,206,1,355.47,0.1,Port Harcourt,Cash,2024-02-19,2024,2,Monday,319.923,319.92300000000006
10154,1134,235,1,250.315,0.0,Port Harcourt,Cash,2023-04-15,2023,4,Saturday,250.315,250.315
10155,1200,217,6,431.73,0.25,Port Harcourt,POS,2024-01-16,2024,1,Tuesday,1942.785,323.7975
10156,1839,202,2,447.25,0.28,Kano,Cash,2024-12-22,2024,12,Sunday,644.04,322.02
10157,1779,227,1,101.11,0.2,Port Harcourt,Cash,2023-11-25,2023,11,Saturday,80.888,80.888
10158,1929,269,6,69.58,0.07,Lagos,Cash,2023-09-06,2023,9,Wednesday,388.2564,64.70939999999999
10159,1032,371,2,487.92,0.08,Abuja,Cash,2023-03-13,2023,3,Monday,897.7728000000001,448.88640000000004
10160,1047,348,6,434.82,0.14,Kano,Cash,2024-11-03,2024,11,Sunday,2243.6712,373.9452
10161,1502,227,8,447.15,0.27,Port Harcourt,Transfer,2023-05-13,2023,5,Saturday,2611.3559999999998,326.41949999999997
10162,1406,253,2,443.76,0.04,Port Harcourt,Cash,2023-08-28,2023,8,Monday,852.0192,426.0096
10163,1573,381,9,273.13,0.25,Kano,Cash,2023-03-19,2023,3,Sunday,1843.6275,204.8475
10164,1727,264,8,324.97,0.09,Lagos,Card,2024-07-23,2024,7,Tuesday,2365.7816000000003,295.72270000000003
10165,1804,299,1,274.95,0.24,Lagos,Card,2024-04-05,2024,4,Friday,208.962,208.962
10166,1098,220,7,30.35,0.28,Port Harcourt,POS,2023-05-05,2023,5,Friday,152.964,21.852
10167,1683,212,6,374.02,0.13,Kano,Cash,2023-01-11,2023,1,Wednesday,1952.3844,325.3974
10168,1871,256,6,255.14,0.11,Kano,POS,2024-04-12,2024,4,Friday,1362.4476,227.0746
10169,1725,248,6,325.62,0.24,Abuja,POS,2024-02-11,2024,2,Sunday,1484.8272000000002,247.4712
10170,1986,317,6,253.81,0.16,Port Harcourt,Card,2023-01-27,2023,1,Friday,1279.2024000000001,213.2004
10171,1546,253,7,248.45,0.21,Lagos,Cash,2023-07-26,2023,7,Wednesday,1373.9285,196.2755
10172,1960,337,3,90.04,0.19,Port Harcourt,Transfer,2023-08-10,2023,8,Thursday,218.7972,72.93240000000002
10173,1738,252,6,142.96,0.05,Lagos,Cash,2023-11-08,2023,11,Wednesday,814.872,135.812
10174,1612,243,3,83.63,0.25,Lagos,POS,2024-01-17,2024,1,Wednesday,188.1675,62.7225
10175,1942,246,7,101.85,0.06,Port Harcourt,Cash,2023-11-11,2023,11,Saturday,670.1729999999999,95.73899999999999
10176,1461,252,7,486.62,0.28,Port Harcourt,POS,2023-07-27,2023,7,Thursday,2452.5648,350.3664
10177,1642,273,8,80.79,0.08,Abuja,Cash,2024-09-12,2024,9,Thursday,594.6144,74.3268
10178,1768,245,2,138.29,0.22,Lagos,Card,2023-10-23,2023,10,Monday,215.73239999999998,107.86619999999999
10179,1004,212,9,297.34,0.09,Lagos,Cash,2024-02-06,2024,2,Tuesday,2435.2146,270.57939999999996
10180,1217,364,5,307.04,0.1,Port Harcourt,Transfer,2024-03-10,2024,3,Sunday,1381.68,276.336
10181,1502,301,9,81.22,0.09,Port Harcourt,Cash,2024-07-26,2024,7,Friday,665.1918000000001,73.9102
10182,1766,223,5,397.89,0.22,Kano,Cash,2023-05-02,2023,5,Tuesday,1551.7709999999997,310.3542
10183,1397,201,7,393.68,0.17,Port Harcourt,POS,2023-04-16,2023,4,Sunday,2287.2808,326.7544
10184,1870,280,9,122.47,0.26,Port Harcourt,Cash,2023-02-05,2023,2,Sunday,815.6502,90.6278
10185,1794,299,4,147.89,0.09,Lagos,Card,2024-07-03,2024,7,Wednesday,538.3195999999999,134.57989999999998
10186,1392,341,2,469.3,0.21,Abuja,Transfer,2023-03-13,2023,3,Monday,741.494,370.747
10187,1206,337,9,413.71,0.23,Lagos,POS,2024-07-21,2024,7,Sunday,2867.0103,318.5567
10188,1014,362,2,350.41,0.05,Port Harcourt,Cash,2023-06-16,2023,6,Friday,665.779,332.8895
10189,1857,352,3,45.71,0.12,Kano,Card,2023-08-09,2023,8,Wednesday,120.67439999999999,40.2248
10190,1553,330,2,212.04,0.14,Abuja,Cash,2023-03-17,2023,3,Friday,364.7088,182.3544
10191,1891,310,3,281.85,0.11,Kano,Card,2024-12-22,2024,12,Sunday,752.5395000000001,250.84650000000002
10192,1460,301,6,97.77,0.1,Port Harcourt,Cash,2023-07-30,2023,7,Sunday,527.958,87.993
10193,1690,216,3,226.87,0.21,Kano,Cash,2023-08-16,2023,8,Wednesday,537.6819,179.2273
10194,1574,211,8,302.51,0.06,Kano,POS,2024-03-28,2024,3,Thursday,2274.8752,284.3594
10195,1863,381,6,167.05,0.21,Port Harcourt,Cash,2024-05-01,2024,5,Wednesday,791.817,131.9695
10196,1742,315,7,391.57,0.28,Port Harcourt,Cash,2024-10-29,2024,10,Tuesday,1973.5127999999997,281.93039999999996
10197,1240,223,1,250.315,0.17,Port Harcourt,POS,2024-04-18,2024,4,Thursday,207.76145,207.76145
10198,1563,228,3,165.19,0.18,Port Harcourt,POS,2024-10-22,2024,10,Tuesday,406.3674,135.4558
10199,1095,370,3,420.14,0.02,Port Harcourt,Cash,2024-05-04,2024,5,Saturday,1235.2116,411.7372
10200,1899,352,2,56.27,0.26,Kano,Cash,2024-01-11,2024,1,Thursday,83.2796,41.6398
10201,1733,321,7,419.68,0.09,Port Harcourt,POS,2023-08-19,2023,8,Saturday,2673.3616,381.90880000000004
10202,1484,387,9,80.61,0.18,Port Harcourt,Transfer,2024-12-02,2024,12,Monday,594.9018,66.1002
10203,1406,289,4,46.05,0.29,Port Harcourt,Card,2023-08-13,2023,8,Sunday,130.78199999999998,32.695499999999996
10204,1230,264,5,322.68,0.18,Port Harcourt,POS,2024-04-19,2024,4,Friday,1322.988,264.5976
10205,1748,283,3,238.61,0.22,Lagos,Cash,2024-07-30,2024,7,Tuesday,558.3474,186.1158
10206,1654,318,9,250.315,0.13,Lagos,Cash,2024-09-11,2024,9,Wednesday,1959.96645,217.77405
10207,1170,355,4,184.78,0.02,Abuja,POS,2023-03-21,2023,3,Tuesday,724.3376,181.0844
10208,1540,215,5,147.14,0.24,Lagos,POS,2024-10-06,2024,10,Sunday,559.132,111.82639999999999
10209,1035,374,1,252.86,0.01,Port Harcourt,Cash,2024-11-16,2024,11,Saturday,250.3314,250.3314
10210,1524,303,2,250.315,0.21,Port Harcourt,Cash,2024-07-29,2024,7,Monday,395.4977,197.74885
10211,1159,291,9,175.49,0.01,Abuja,Transfer,2023-07-29,2023,7,Saturday,1563.6159,173.73510000000002
10212,1838,385,2,348.4,0.26,Lagos,Cash,2023-10-24,2023,10,Tuesday,515.632,257.816
10213,1698,226,5,380.98,0.05,Kano,Cash,2024-09-01,2024,9,Sunday,1809.6550000000002,361.931
10214,1242,380,8,427.23,0.15,Abuja,Cash,2023-06-21,2023,6,Wednesday,2905.164,363.1455
10215,1085,369,3,486.56,0.18,Port Harcourt,Cash,2023-03-30,2023,3,Thursday,1196.9376000000002,398.97920000000005
10216,1795,386,6,136.99,0.14,Port Harcourt,POS,2023-08-14,2023,8,Monday,706.8684000000001,117.8114
10217,1577,374,4,359.47,0.1,Port Harcourt,POS,2023-05-23,2023,5,Tuesday,1294.092,323.523
10218,1681,361,7,200.16,0.14,Port Harcourt,Cash,2024-12-08,2024,12,Sunday,1204.9632,172.1376
10219,1556,364,3,340.16,0.09,Kano,Transfer,2024-11-21,2024,11,Thursday,928.6368,309.54560000000004
10220,1573,333,6,240.61,0.13,Kano,Cash,2023-02-23,2023,2,Thursday,1255.9842,209.3307
10222,1645,352,1,365.81,0.17,Lagos,POS,2024-12-29,2024,12,Sunday,303.6223,303.6223
10223,1795,232,3,476.48,0.07,Port Harcourt,Transfer,2024-05-03,2024,5,Friday,1329.3792,443.1264
10224,1027,254,2,418.31,0.3,Lagos,Transfer,2023-10-25,2023,10,Wednesday,585.634,292.817
10225,1619,385,8,451.94,0.15,Port Harcourt,Card,2024-03-05,2024,3,Tuesday,3073.192,384.149
10226,1555,206,7,408.14,0.06,Port Harcourt,Transfer,2024-06-20,2024,6,Thursday,2685.5612,383.6516
10227,1339,256,2,232.28,0.14,Lagos,Transfer,2024-08-01,2024,8,Thursday,399.5216,199.7608
10228,1797,325,6,129.64,0.26,Port Harcourt,Cash,2024-11-05,2024,11,Tuesday,575.6016,95.93359999999998
10229,1957,211,3,188.31,0.01,Kano,POS,2024-05-14,2024,5,Tuesday,559.2807,186.4269
10230,1330,215,8,15.02,0.2,Kano,Cash,2024-09-15,2024,9,Sunday,96.128,12.016
10231,1639,242,3,264.38,0.16,Abuja,Card,2023-07-25,2023,7,Tuesday,666.2375999999999,222.0792
10232,1505,316,9,255.0,0.05,Port Harcourt,Transfer,2023-05-17,2023,5,Wednesday,2180.25,242.25
10233,1347,334,1,265.0,0.25,Lagos,Cash,2024-02-12,2024,2,Monday,198.75,198.75
10234,1472,310,5,487.15,0.11,Port Harcourt,Cash,2023-10-06,2023,10,Friday,2167.8175,433.5635
10235,1230,250,3,456.17,0.09,Abuja,Cash,2024-03-20,2024,3,Wednesday,1245.3441,415.1147
10236,1189,359,6,85.05,0.25,Port Harcourt,Cash,2024-11-07,2024,11,Thursday,382.72499999999997,63.787499999999994
10237,1224,274,2,187.6,0.19,Port Harcourt,POS,2023-09-28,2023,9,Thursday,303.912,151.95600000000002
10238,1384,207,9,214.86,0.27,Port Harcourt,Transfer,2024-03-16,2024,3,Saturday,1411.6302,156.8478
10239,1376,399,6,183.46,0.19,Lagos,Cash,2023-08-16,2023,8,Wednesday,891.6156,148.60260000000002
10240,1282,244,7,400.26,0.22,Kano,Card,2023-05-07,2023,5,Sunday,2185.4195999999997,312.2028
10241,1957,258,5,264.4,0.25,Abuja,POS,2023-09-27,2023,9,Wednesday,991.5,198.29999999999998
10242,1632,331,9,288.19,0.02,Lagos,Transfer,2024-05-01,2024,5,Wednesday,2541.8358,282.4262
10243,1627,303,1,427.24,0.23,Port Harcourt,Cash,2024-07-01,2024,7,Monday,328.9748,328.9748
10244,1972,394,5,403.93,0.18,Lagos,Transfer,2023-06-04,2023,6,Sunday,1656.113,331.22260000000006
